新闻id,内容,链接
70,CoinDesk 20 指数下跌 3.1%，所有成分股均走低CoinDesk 20 指数下跌 3.1%，至 2102.78，自周二东八区时间下午 4 点以来下降了 68.15 点。据 NS3 报道，所有 20 个成分股均出现下跌，其中 Polkadot 下跌 0.6%，Uniswap 下跌 4.9%。,https://www.binance.com/zh-CN/square/post/302908369821746
71,Trader 0x10Ea 开启 183M ¥PENGU 的 3 倍多头仓位Lookonchain在 X（原Twitter）表示，Trader 0x10Ea 在过去 10 小时内开启了 183M ¥PENGU（价值 $1.38M）的 3 倍多头仓位。,https://www.binance.com/zh-CN/square/post/302898484057186
72,"三大加密资产或在 2026 年底创历史新高据 NS3 报道，Bitcoin、XRP 和 Solana 可能在 2026 年底前创下历史新高，前提是市场迎来新一轮牛市。文章指出，Bitcoin 曾达到 126,080 美元的峰值，XRP 的历史高点为 3.65 美元，而 Solana 在 FTX 事件后的恢复中曾达到 293.31 美元的高位。",https://www.binance.com/zh-CN/square/post/302908323988018
73,"ETH 价格波动，空单与多单清算强度显著变化据 ChainCatcher 报道，Coinglass 数据显示，若 ETH 突破 2,345 美元，主流 CEX 累计空单清算强度将达 9.29 亿美元。反之，若 ETH 跌破 2,137 美元，主流 CEX 累计多单清算强度将达 3.09 亿美元。",https://www.binance.com/zh-CN/square/post/302907982191250
74,Tether CEO：公司将于30天内公布重大消息Tether CEO Paolo Ardoino 表示，公司正在准备“一件大事”。据 NS3 报道，他预计将在未来30天内披露这一消息。,https://www.binance.com/zh-CN/square/post/302907606086098
75,Breez SDK 新增 Passkey 登录功能，简化 Bitcoin 钱包使用Breez 在其 SDK 中新增了 Passkey 登录功能，使开发者能够构建无需常规 12 个单词助记词的自托管 Bitcoin 钱包。据 NS3 报道，用户仍可选择导出标准的 12 个单词 BIP-39 助记词作为备份。,https://www.binance.com/zh-CN/square/post/302907489917425
76,DeFi 项目呼吁美国大学增加区块链课程超过 20 个 DeFi 项目联合发出公开信，敦促美国主要大学在商学院和法学院核心课程中增加 DeFi 和加密货币教育。据 NS3 报道，该倡议由 1inch Forward 发起，要求大学教授区块链架构、去中心化技术以及自动化做市商等 DeFi 机制。,https://www.binance.com/zh-CN/square/post/302907449741666
77,Rand Paul 质疑 Markwayne Mullin 的领导能力Rand Paul 质疑参议员 Markwayne Mullin 的“愤怒问题”是否使其不适合领导一个因激进策略而陷入争议的机构。Bloomberg 在 X（原 Twitter）发文表示，这一质疑引发了关于领导能力和情绪管理的讨论。,https://www.binance.com/zh-CN/square/post/302907409902482
78,地缘政治 | Carlyle 分析师：油价尚未完全反映美以战争对伊朗的供应冲击Carlyle 的 Jeff Currie 表示，油价尚未完全反映美以战争对伊朗的供应冲击。Bloomberg 在 X（原 Twitter）发文表示，他将当前全球能源市场的动荡形容为“Covid 的镜像”。,https://www.binance.com/zh-CN/square/post/302906750882337
79,委内瑞拉首次赢得世界棒球经典赛冠军委内瑞拉在世界棒球经典赛中首次夺冠。纽约时报在 X（原 Twitter）发文表示，他们击败了有史以来最强的美国棒球队伍，成为棒球世界的新冠军。,https://www.binance.com/zh-CN/square/post/302906676353938
80,美国新墨西哥州空军基地枪击事件致1死1伤据金十数据引述央视新闻报道，当地时间3月17日，美国新墨西哥州霍洛曼空军基地发生枪击事件，造成1人死亡、1人受伤。基地第49联队在声明中表示，事件发生在当地时间17日约17时30分，基地接到“活跃枪手”报告后立即实施封锁措施。声明称，应急人员正在处理相关情况，目前已不存在持续威胁。随后，基地封锁状态已解除。,https://www.binance.com/zh-CN/square/post/302906612072305
81,伊朗石油部：南帕尔斯天然气田基础设施受损据金十数据引述伊朗塔斯尼姆通讯社报道，伊朗石油部表示，南帕尔斯天然气田的部分基础设施受损。目前尚无人员伤亡的报告。,https://www.binance.com/zh-CN/square/post/302906594687698
82,英国议员推动立法禁止加密货币政治捐款英国议员正在敦促政府立法禁止向政党进行加密货币捐款。Bloomberg 在 X（原 Twitter）发文表示，这一举措源于对包括美国在内的外国势力影响力日益增长的担忧。,https://www.binance.com/zh-CN/square/post/302906455397698
83,MFS 资产冻结令：全球范围内冻结 Paresh Raja 资产MFS 的清算官员已获得针对其所有者 Paresh Raja 的全球资产冻结令。Bloomberg 在 X（原 Twitter）发文表示，这家英国抵押贷款机构从华尔街支持者那里借入了超过 20 亿英镑（27 亿美元）。,https://www.binance.com/zh-CN/square/post/302905929208497
84,美国国家情报总监：伊朗政权若存续将重建导弹和无人机部队据金十数据报道，美国国家情报总监加巴德表示，如果伊朗政权得以存续，它将启动历时多年的行动，以重建其导弹和无人机部队。,https://www.binance.com/zh-CN/square/post/302905900012881
85,美国国家情报总监：人工智能能力迅速发展改变威胁态势美国国家情报总监加巴德表示，人工智能能力正在迅速发展，并不断改变全球的威胁态势。这一技术的进步可能对国家安全产生深远影响，情报界需要密切关注其发展动态。,https://www.binance.com/zh-CN/square/post/302905851762818
86,美国国家情报总监：伊朗核浓缩计划在6月空袭中被彻底摧毁据金十数据报道，美国国家情报总监加巴德表示，伊朗的核浓缩计划已在6月的空袭中被彻底摧毁。这一消息引发了国际社会的广泛关注，可能对中东地区的地缘政治局势产生深远影响。,https://www.binance.com/zh-CN/square/post/302905806977969
87,地缘政治 | 联合国敦促美国与伊朗重启谈判联合国核监督机构呼吁美国和伊朗恢复谈判，强调仅靠军事行动无法解决对德黑兰核计划的担忧。Bloomberg 在 X（原 Twitter）发文表示，谈判是解决问题的关键途径，军事手段可能导致局势进一步恶化。,https://www.binance.com/zh-CN/square/post/302905777047266
88,美国国家情报总监：伊朗因美军行动大幅削弱据金十数据报道，美国国家情报总监加巴德表示，伊朗已因美军的行动而大幅削弱。加巴德强调，美军的战略行动对伊朗的军事能力产生了显著影响，削弱了其在地区的影响力。,https://www.binance.com/zh-CN/square/post/302905686977058
89,加密组织呼吁美国高校加强 DeFi 教育据 NS3 报道，21 家加密货币组织签署公开信，敦促美国高校将去中心化金融纳入核心商业和法律课程。该活动由 1Inch 领导，指出华尔街对加密人才的需求正在增长，并呼吁加强实用的 DeFi 教育。,https://www.binance.com/zh-CN/square/post/302905600646241
90,俄罗斯总统普京助手：伊朗冲突无正当理由俄罗斯总统普京的助手表示，伊朗的冲突没有任何正当理由或客观原因。据金十数据报道，这一声明引发了国际社会的广泛关注和讨论。,https://www.binance.com/zh-CN/square/post/302905489028434
91,伊拉克：伊朗供应的天然气已完全中断据金十数据引述央视新闻报道，伊拉克表示，伊朗供应的天然气已经完全中断。这一中断可能对伊拉克的能源供应产生重大影响。,https://www.binance.com/zh-CN/square/post/302905462094402
92,174.66 万枚 TON 转移，匿名地址间大额交易引关注据 ChainCatcher 报道，Arkham 数据显示，在 21:50，174.66 万枚 TON 从一匿名地址转出至另一匿名地址。,https://www.binance.com/zh-CN/square/post/302905414529378
